år;Upplands Väsby;Vallentuna;Österåker;Värmdö;Järfälla;Ekerö;Huddinge;Botkyrka;Salem;Haninge;Tyresö;Upplands-Bro;Nykvarn;Täby;Danderyd;Sollentuna;Stockholm;Södertälje;Nacka;Sundbyberg;Solna;Lidingö;Vaxholm;Norrtälje;Sigtuna;Nynäshamn
2000;19.58;17.68;18.83;19.08;18.88;18.33;19.53;20.38;19.33;20.08;19.48;19.58;19.03;16.93;16.18;17.93;17.93;19.03;17.93;18.38;17.58;17.65;19.23;19.63;19.58;19.83
2001;19.58;17.68;19.53;19.58;18.88;18.33;19.53;20.38;19.33;19.83;19.48;19.58;19.03;17.53;16.83;17.93;17.78;19.53;17.93;19.28;17.58;18.37;18.98;19.63;19.08;19.83
2002;19.58;17.68;19.53;20.08;18.63;18.33;19.53;20.13;19.33;19.58;19.63;19.58;19.03;17.53;17.28;17.93;17.58;19.53;17.93;19.28;17.58;18.37;18.98;19.63;19.38;19.83
2003;19.58;18.68;20.23;20.46;19.13;19.23;20.23;20.13;19.33;19.58;19.63;19.58;19.03;18.28;17.86;18.68;18.08;19.53;18.56;19.28;17.58;18.97;19.88;20.12;20.13;19.83
2004;19.58;19.18;20.23;20.46;19.13;19.23;20.23;20.13;20.13;19.58;19.63;19.58;19.95;18.28;18.43;18.68;18.08;20.13;18.66;19.28;17.58;18.97;19.88;20.12;20.43;19.83
2005;19.58;19.18;19.88;20.46;19.13;19.23;20.23;20.13;20.13;20.08;19.63;19.58;19.95;18.28;18.43;18.68;18.08;20.13;18.66;19.28;17.58;19.37;19.88;20.12;20.33;19.83
2006;19.58;19.18;19.53;20.28;19.13;19.23;20.23;20.13;19.9;20.08;19.63;19.58;19.95;18.03;17.86;18.58;18.08;20.13;18.66;19.28;17.58;19.17;19.88;20.42;20.1;19.83
2007;19.58;19.18;19.43;20.28;18.98;19.23;20.1;20.13;19.9;20.08;19.63;19.58;19.95;18.03;17.46;18.33;17.78;20.13;18.41;19.28;17.38;18.96;19.88;20.42;20.1;19.83
2008;19.38;18.98;19.33;20.28;18.8;19.23;19.95;20.13;19.9;20.08;19.48;19.58;19.95;17.63;17.2;18.2;17.58;20.13;18.26;19.13;17.12;18.86;19.88;20.12;20.1;19.83
2009;19.18;18.98;19.23;20.28;18.63;19.23;19.95;20.13;19.9;20.08;19.48;19.58;19.95;17.63;17.2;18.2;17.48;20.13;18.26;19.03;17.12;18.86;19.88;20.12;20.1;19.83
2010;19.18;18.98;19.23;20.28;18.63;19.23;19.95;20.13;19.9;20.08;19.48;19.58;19.95;17.63;17.2;18.2;17.48;20.13;18.26;19.03;17.12;18.86;19.88;20.12;19.98;19.83
2011;19.18;18.98;18.9;20.28;18.63;19.23;19.95;20.13;19.9;19.78;19.48;19.58;19.95;17.63;17.2;18.2;17.48;20.13;18.26;19.03;17.12;18.62;19.78;20.12;19.98;19.83
2012;19.18;18.98;18.9;20.13;18.63;19.23;19.95;20.13;19.9;19.78;19.48;19.58;19.95;17.63;17.35;18.2;17.48;20.13;18.61;19.03;17.12;18.62;19.78;20.12;19.98;19.83
2013;19.18;18.98;18.65;20.08;18.98;19.23;19.95;20.13;19.9;19.78;19.48;19.58;19.95;17.63;17.35;18.1;17.33;20.13;18.61;18.88;17.12;18.62;19.78;19.92;19.98;19.83
2014;19.18;18.98;18.65;19.91;18.98;19.23;19.85;20.13;19.9;19.78;19.48;19.58;19.95;17.63;17.35;18.1;17.33;20.13;18.61;18.88;17.12;18.62;19.78;19.72;19.98;19.83
2015;19.5;18.98;18.65;19.91;18.98;19.23;19.85;20.13;19.9;19.78;19.48;19.58;19.95;17.63;17.35;18.1;17.68;20.13;18.61;18.88;17.12;18.62;19.78;19.72;19.98;19.83
2016;19.52;19;18.17;19.88;19.15;19.25;19.87;20.15;19.67;19.68;19.5;19.6;19.97;17.65;17.35;18.12;17.9;20.15;18.63;18.9;17.12;18.64;19.78;19.72;20;19.85
2017;19.52;19;17.75;19.18;19.15;19.25;19.87;20.15;19.67;19.68;19.5;19.6;19.97;17.55;17.35;18.12;17.9;20.15;18.53;18.9;17.12;18.64;19.78;19.72;20;19.85
2018;19.52;19;17.35;19.18;19.15;19.25;19.87;20.15;19.67;19.68;19.5;19.6;19.97;17.55;17.35;18.12;17.9;20.15;18.43;18.9;17.12;18.49;19.78;19.72;20;19.85
2019;19.42;19;17.1;19.18;19.15;19.25;19.87;20.15;19.67;19.68;19.95;19.6;19.97;17.55;17.55;18.12;17.74;20.15;18.43;18.9;17.12;18.29;19.78;19.72;20;19.85
2020;19.42;19;17.1;19.18;19.15;19.25;19.87;20.15;19.67;19.68;19.95;19.6;19.97;17.55;18.95;18.12;17.74;20.15;18.43;18.9;17.12;17.99;19.78;19.72;20;19.85
