år;Upplands Väsby;Vallentuna;Österåker;Värmdö;Järfälla;Ekerö;Huddinge;Botkyrka;Salem;Haninge;Tyresö;Upplands-Bro;Nykvarn;Täby;Danderyd;Sollentuna;Stockholm;Södertälje;Nacka;Sundbyberg;Solna;Lidingö;Vaxholm;Norrtälje;Sigtuna;Nynäshamn
2000;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32
2001;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32
2002;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32;10,32
2003;11,62;11,62;11,62;11,62;11,62;11,62;11,62;11,62;11,62;11,62;11,62;11,62;11,62;11,62;11,62;11,62;11,62;11,62;11,62;11,62;11,62;11,62;11,62;11,62;11,62;11,62
2004;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27
2005;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27
2006;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27
2007;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27;12,27
2008;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1
2009;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1
2010;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1
2011;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1
2012;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1
2013;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1
2014;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1
2015;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1;12,1
2016;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08
2017;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08
2018;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08
2019;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08
2020;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08;12,08
