år;Upplands Väsby;Vallentuna;Österåker;Värmdö;Järfälla;Ekerö;Huddinge;Botkyrka;Salem;Haninge;Tyresö;Upplands-Bro;Nykvarn;Täby;Danderyd;Sollentuna;Stockholm;Södertälje;Nacka;Sundbyberg;Solna;Lidingö;Vaxholm;Norrtälje;Sigtuna;Nynäshamn
2 000;29,9;28;29,15;29,4;29,2;28,65;29,85;30,7;29,65;30,4;29,8;29,9;29,35;27,25;26,5;28,25;28,25;29,35;28,25;28,7;27,9;27,97;29,55;29,95;29,9;30,15
2001;29,9;28;29,85;29,9;29,2;28,65;29,85;30,7;29,65;30,15;29,8;29,9;29,35;27,85;27,15;28,25;28,1;29,85;28,25;29,6;27,9;28,69;29,3;29,95;29,4;30,15
2002;29,9;28;29,85;30,4;28,95;28,65;29,85;30,45;29,65;29,9;29,95;29,9;29,35;27,85;27,6;28,25;27,9;29,85;28,25;29,6;27,9;28,69;29,3;29,95;29,7;30,15
2003;31,2;30,3;31,85;32,08;30,75;30,85;31,85;31,75;30,95;31,2;31,25;31,2;30,65;29,9;29,48;30,3;29,7;31,15;30,18;30,9;29,2;30,59;31,5;31,74;31,75;31,45
2004;31,85;31,45;32,5;32,73;31,4;31,5;32,5;32,4;32,4;31,85;31,9;31,85;32,22;30,55;30,7;30,95;30,35;32,4;30,93;31,55;29,85;31,24;32,15;32,39;32,7;32,1
2005;31,85;31,45;32,15;32,73;31,4;31,5;32,5;32,4;32,4;32,35;31,9;31,85;32,22;30,55;30,7;30,95;30,35;32,4;30,93;31,55;29,85;31,64;32,15;32,39;32,6;32,1
2006;31,85;31,45;31,8;32,55;31,4;31,5;32,5;32,4;32,17;32,35;31,9;31,85;32,22;30,3;30,13;30,85;30,35;32,4;30,93;31,55;29,85;31,44;32,15;32,69;32,37;32,1
2007;31,85;31,45;31,7;32,55;31,25;31,5;32,37;32,4;32,17;32,35;31,9;31,85;32,22;30,3;29,73;30,6;30,05;32,4;30,68;31,55;29,65;31,23;32,15;32,69;32,37;32,1
2008;31,48;31,08;31,43;32,38;30,9;31,33;32,05;32,23;32;32,18;31,58;31,68;32,05;29,73;29,3;30,3;29,68;32,23;30,36;31,23;29,22;30,96;31,98;32,22;32,2;31,93
2009;31,28;31,08;31,33;32,38;30,73;31,33;32,05;32,23;32;32,18;31,58;31,68;32,05;29,73;29,3;30,3;29,58;32,23;30,36;31,13;29,22;30,96;31,98;32,22;32,2;31,93
2010;31,28;31,08;31,33;32,38;30,73;31,33;32,05;32,23;32;32,18;31,58;31,68;32,05;29,73;29,3;30,3;29,58;32,23;30,36;31,13;29,22;30,96;31,98;32,22;32,08;31,93
2011;31,28;31,08;31;32,38;30,73;31,33;32,05;32,23;32;31,88;31,58;31,68;32,05;29,73;29,3;30,3;29,58;32,23;30,36;31,13;29,22;30,72;31,88;32,22;32,08;31,93
2012;31,28;31,08;31;32,23;30,73;31,33;32,05;32,23;32;31,88;31,58;31,68;32,05;29,73;29,45;30,3;29,58;32,23;30,71;31,13;29,22;30,72;31,88;32,22;32,08;31,93
2013;31,28;31,08;30,75;32,18;31,08;31,33;32,05;32,23;32;31,88;31,58;31,68;32,05;29,73;29,45;30,2;29,43;32,23;30,71;30,98;29,22;30,72;31,88;32,02;32,08;31,93
2014;31,28;31,08;30,75;32,01;31,08;31,33;31,95;32,23;32;31,88;31,58;31,68;32,05;29,73;29,45;30,2;29,43;32,23;30,71;30,98;29,22;30,72;31,88;31,82;32,08;31,93
2015;31,6;31,08;30,75;32,01;31,08;31,33;31,95;32,23;32;31,88;31,58;31,68;32,05;29,73;29,45;30,2;29,78;32,23;30,71;30,98;29,22;30,72;31,88;31,82;32,08;31,93
2016;31,6;31,08;30,25;31,96;31,23;31,33;31,95;32,23;31,75;31,76;31,58;31,68;32,05;29,73;29,43;30,2;29,98;32,23;30,71;30,98;29,2;30,72;31,86;31,8;32,08;31,93
2017;31,6;31,08;29,83;31,26;31,23;31,33;31,95;32,23;31,75;31,76;31,58;31,68;32,05;29,63;29,43;30,2;29,98;32,23;30,61;30,98;29,2;30,72;31,86;31,8;32,08;31,93
2018;31,6;31,08;29,43;31,26;31,23;31,33;31,95;32,23;31,75;31,76;31,58;31,68;32,05;29,63;29,43;30,2;29,98;32,23;30,51;30,98;29,2;30,57;31,86;31,8;32,08;31,93
2019;31,5;31,08;29,18;31,26;31,23;31,33;31,95;32,23;31,75;31,76;32,03;31,68;32,05;29,63;29,63;30,2;29,82;32,23;30,51;30,98;29,2;30,37;31,86;31,8;32,08;31,93
2020;31,5;31,08;29,18;31,26;31,23;31,33;31,95;32,23;31,75;31,76;32,03;31,68;32,05;29,63;31,03;30,2;29,82;32,23;30,51;30,98;29,2;30,07;31,86;31,8;32,08;31,93
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
