kommun;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
0114 ;29.90;29.90;29.90;31.20;31.85;31.85;31.85;31.85;31.48;31.28;31.28;31.28;31.28;31.28;31.28;31.60;31.60;31.60;31.60;31.50;31.50
0115 ;28.00;28.00;28.00;30.30;31.45;31.45;31.45;31.45;31.08;31.08;31.08;31.08;31.08;31.08;31.08;31.08;31.08;31.08;31.08;31.08;31.08
0117 ;29.15;29.85;29.85;31.85;32.50;32.15;31.80;31.70;31.43;31.33;31.33;31.00;31.00;30.75;30.75;30.75;30.25;29.83;29.43;29.18;29.18
0120 ;29.40;29.90;30.40;32.08;32.73;32.73;32.55;32.55;32.38;32.38;32.38;32.38;32.23;32.18;32.01;32.01;31.96;31.26;31.26;31.26;31.26
0123 ;29.20;29.20;28.95;30.75;31.40;31.40;31.40;31.25;30.90;30.73;30.73;30.73;30.73;31.08;31.08;31.08;31.23;31.23;31.23;31.23;31.23
0125 ;28.65;28.65;28.65;30.85;31.50;31.50;31.50;31.50;31.33;31.33;31.33;31.33;31.33;31.33;31.33;31.33;31.33;31.33;31.33;31.33;31.33
0126 ;29.85;29.85;29.85;31.85;32.50;32.50;32.50;32.37;32.05;32.05;32.05;32.05;32.05;32.05;31.95;31.95;31.95;31.95;31.95;31.95;31.95
0127 ;30.70;30.70;30.45;31.75;32.40;32.40;32.40;32.40;32.23;32.23;32.23;32.23;32.23;32.23;32.23;32.23;32.23;32.23;32.23;32.23;32.23
0128 ;29.65;29.65;29.65;30.95;32.40;32.40;32.17;32.17;32.00;32.00;32.00;32.00;32.00;32.00;32.00;32.00;31.75;31.75;31.75;31.75;31.75
0136 ;30.40;30.15;29.90;31.20;31.85;32.35;32.35;32.35;32.18;32.18;32.18;31.88;31.88;31.88;31.88;31.88;31.76;31.76;31.76;31.76;31.76
0138 ;29.80;29.80;29.95;31.25;31.90;31.90;31.90;31.90;31.58;31.58;31.58;31.58;31.58;31.58;31.58;31.58;31.58;31.58;31.58;32.03;32.03
0139 ;29.90;29.90;29.90;31.20;31.85;31.85;31.85;31.85;31.68;31.68;31.68;31.68;31.68;31.68;31.68;31.68;31.68;31.68;31.68;31.68;31.68
0140 ;29.35;29.35;29.35;30.65;32.22;32.22;32.22;32.22;32.05;32.05;32.05;32.05;32.05;32.05;32.05;32.05;32.05;32.05;32.05;32.05;32.05
0160 ;27.25;27.85;27.85;29.90;30.55;30.55;30.30;30.30;29.73;29.73;29.73;29.73;29.73;29.73;29.73;29.73;29.73;29.63;29.63;29.63;29.63
0162 ;26.50;27.15;27.60;29.48;30.70;30.70;30.13;29.73;29.30;29.30;29.30;29.30;29.45;29.45;29.45;29.45;29.43;29.43;29.43;29.63;31.03
0163 ;28.25;28.25;28.25;30.30;30.95;30.95;30.85;30.60;30.30;30.30;30.30;30.30;30.30;30.20;30.20;30.20;30.20;30.20;30.20;30.20;30.20
0180 ;28.25;28.10;27.90;29.70;30.35;30.35;30.35;30.05;29.68;29.58;29.58;29.58;29.58;29.43;29.43;29.78;29.98;29.98;29.98;29.82;29.82
0181 ;29.35;29.85;29.85;31.15;32.40;32.40;32.40;32.40;32.23;32.23;32.23;32.23;32.23;32.23;32.23;32.23;32.23;32.23;32.23;32.23;32.23
0182 ;28.25;28.25;28.25;30.18;30.93;30.93;30.93;30.68;30.36;30.36;30.36;30.36;30.71;30.71;30.71;30.71;30.71;30.61;30.51;30.51;30.51
0183 ;28.70;29.60;29.60;30.90;31.55;31.55;31.55;31.55;31.23;31.13;31.13;31.13;31.13;30.98;30.98;30.98;30.98;30.98;30.98;30.98;30.98
0184 ;27.90;27.90;27.90;29.20;29.85;29.85;29.85;29.65;29.22;29.22;29.22;29.22;29.22;29.22;29.22;29.22;29.20;29.20;29.20;29.20;29.20
0186 ;27.97;28.69;28.69;30.59;31.24;31.64;31.44;31.23;30.96;30.96;30.96;30.72;30.72;30.72;30.72;30.72;30.72;30.72;30.57;30.37;30.07
0187 ;29.55;29.30;29.30;31.50;32.15;32.15;32.15;32.15;31.98;31.98;31.98;31.88;31.88;31.88;31.88;31.88;31.86;31.86;31.86;31.86;31.86
0188 ;29.95;29.95;29.95;31.74;32.39;32.39;32.69;32.69;32.22;32.22;32.22;32.22;32.22;32.02;31.82;31.82;31.80;31.80;31.80;31.80;31.80
0191 ;29.90;29.40;29.70;31.75;32.70;32.60;32.37;32.37;32.20;32.20;32.08;32.08;32.08;32.08;32.08;32.08;32.08;32.08;32.08;32.08;32.08
0192 ;30.15;30.15;30.15;31.45;32.10;32.10;32.10;32.10;31.93;31.93;31.93;31.93;31.93;31.93;31.93;31.93;31.93;31.93;31.93;31.93;31.93
